"Notes"	"Cancer Sites"	"Cancer Sites Code"	"States"	"States Code"	"Year"	"Year Code"	Count	Population	Age-Adjusted Rate
	"All Invasive Cancer Sites Combined"	"0"	"Alabama"	"01"	"2016"	"2016"	27561	4866824	463.2
	"All Invasive Cancer Sites Combined"	"0"	"Alaska"	"02"	"2016"	"2016"	2983	742575	421.9
	"All Invasive Cancer Sites Combined"	"0"	"Arizona"	"04"	"2016"	"2016"	32682	6944767	389.8
	"All Invasive Cancer Sites Combined"	"0"	"Arkansas"	"05"	"2016"	"2016"	17403	2991815	479.0
	"All Invasive Cancer Sites Combined"	"0"	"California"	"06"	"2016"	"2016"	172294	39149186	404.9
	"All Invasive Cancer Sites Combined"	"0"	"Colorado"	"08"	"2016"	"2016"	23821	5543844	398.1
	"All Invasive Cancer Sites Combined"	"0"	"Connecticut"	"09"	"2016"	"2016"	21568	3579830	476.6
	"All Invasive Cancer Sites Combined"	"0"	"Delaware"	"10"	"2016"	"2016"	6094	949989	495.3
	"All Invasive Cancer Sites Combined"	"0"	"District of Columbia"	"11"	"2016"	"2016"	2750	687576	404.1
	"All Invasive Cancer Sites Combined"	"0"	"Florida"	"12"	"2016"	"2016"	134841	20627237	473.9
	"All Invasive Cancer Sites Combined"	"0"	"Georgia"	"13"	"2016"	"2016"	52866	10308442	476.8
	"All Invasive Cancer Sites Combined"	"0"	"Hawaii"	"15"	"2016"	"2016"	7484	1428885	419.2
	"All Invasive Cancer Sites Combined"	"0"	"Idaho"	"16"	"2016"	"2016"	8642	1684036	453.7
	"All Invasive Cancer Sites Combined"	"0"	"Illinois"	"17"	"2016"	"2016"	70291	12821709	472.5
	"All Invasive Cancer Sites Combined"	"0"	"Indiana"	"18"	"2016"	"2016"	36678	6637898	474.1
	"All Invasive Cancer Sites Combined"	"0"	"Iowa"	"19"	"2016"	"2016"	18812	3133210	490.3
	"All Invasive Cancer Sites Combined"	"0"	"Kansas"	"20"	"2016"	"2016"	15371	2912977	459.7
	"All Invasive Cancer Sites Combined"	"0"	"Kentucky"	"21"	"2016"	"2016"	27694	4440306	520.0
	"All Invasive Cancer Sites Combined"	"0"	"Louisiana"	"22"	"2016"	"2016"	25752	4681346	478.7
	"All Invasive Cancer Sites Combined"	"0"	"Maine"	"23"	"2016"	"2016"	9042	1332348	479.4
	"All Invasive Cancer Sites Combined"	"0"	"Maryland"	"24"	"2016"	"2016"	31842	6007014	454.6
	"All Invasive Cancer Sites Combined"	"0"	"Massachusetts"	"25"	"2016"	"2016"	39266	6827280	472.1
	"All Invasive Cancer Sites Combined"	"0"	"Michigan"	"26"	"2016"	"2016"	57045	9954117	461.7
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"2016"	"2016"	30406	5525360	467.7
	"All Invasive Cancer Sites Combined"	"0"	"Mississippi"	"28"	"2016"	"2016"	16784	2990595	480.5
	"All Invasive Cancer Sites Combined"	"0"	"Missouri"	"29"	"2016"	"2016"	33783	6091384	454.2
	"All Invasive Cancer Sites Combined"	"0"	"Montana"	"30"	"2016"	"2016"	6402	1042137	471.1
	"All Invasive Cancer Sites Combined"	"0"	"Nebraska"	"31"	"2016"	"2016"	10322	1906483	469.5
	"All Invasive Cancer Sites Combined"	"0"	"Nevada"	"32"	"2016"	"2016"	13576	2919555	401.8
	"All Invasive Cancer Sites Combined"	"0"	"New Hampshire"	"33"	"2016"	"2016"	8655	1343694	492.2
	"All Invasive Cancer Sites Combined"	"0"	"New Jersey"	"34"	"2016"	"2016"	52799	8873584	490.2
	"All Invasive Cancer Sites Combined"	"0"	"New Mexico"	"35"	"2016"	"2016"	9664	2092555	381.9
	"All Invasive Cancer Sites Combined"	"0"	"New York"	"36"	"2016"	"2016"	114878	19636391	485.6
	"All Invasive Cancer Sites Combined"	"0"	"North Carolina"	"37"	"2016"	"2016"	57197	10161802	473.6
	"All Invasive Cancer Sites Combined"	"0"	"North Dakota"	"38"	"2016"	"2016"	3863	756114	460.3
	"All Invasive Cancer Sites Combined"	"0"	"Ohio"	"39"	"2016"	"2016"	67490	11640060	468.4
	"All Invasive Cancer Sites Combined"	"0"	"Oklahoma"	"40"	"2016"	"2016"	20465	3928143	453.7
	"All Invasive Cancer Sites Combined"	"0"	"Oregon"	"41"	"2016"	"2016"	22040	4093271	432.9
	"All Invasive Cancer Sites Combined"	"0"	"Pennsylvania"	"42"	"2016"	"2016"	81068	12788468	488.4
	"All Invasive Cancer Sites Combined"	"0"	"Rhode Island"	"44"	"2016"	"2016"	6313	1057816	474.9
	"All Invasive Cancer Sites Combined"	"0"	"South Carolina"	"45"	"2016"	"2016"	28203	4963031	454.7
	"All Invasive Cancer Sites Combined"	"0"	"South Dakota"	"46"	"2016"	"2016"	4790	863693	467.6
	"All Invasive Cancer Sites Combined"	"0"	"Tennessee"	"47"	"2016"	"2016"	37791	6651277	470.4
	"All Invasive Cancer Sites Combined"	"0"	"Texas"	"48"	"2016"	"2016"	114503	27914064	412.6
	"All Invasive Cancer Sites Combined"	"0"	"Utah"	"49"	"2016"	"2016"	10711	3044241	400.0
	"All Invasive Cancer Sites Combined"	"0"	"Vermont"	"50"	"2016"	"2016"	3821	624366	458.6
	"All Invasive Cancer Sites Combined"	"0"	"Virginia"	"51"	"2016"	"2016"	40879	8417651	418.9
	"All Invasive Cancer Sites Combined"	"0"	"Washington"	"53"	"2016"	"2016"	38017	7299961	452.7
	"All Invasive Cancer Sites Combined"	"0"	"West Virginia"	"54"	"2016"	"2016"	11993	1832435	483.1
	"All Invasive Cancer Sites Combined"	"0"	"Wisconsin"	"55"	"2016"	"2016"	33897	5775170	475.6
	"All Invasive Cancer Sites Combined"	"0"	"Wyoming"	"56"	"2016"	"2016"	2801	585243	405.8
	"Oral Cavity and Pharynx"	"20010-20100"	"Alabama"	"01"	"2016"	"2016"	827	4866824	13.8
	"Oral Cavity and Pharynx"	"20010-20100"	"Alaska"	"02"	"2016"	"2016"	89	742575	11.0
	"Oral Cavity and Pharynx"	"20010-20100"	"Arizona"	"04"	"2016"	"2016"	745	6944767	8.8
	"Oral Cavity and Pharynx"	"20010-20100"	"Arkansas"	"05"	"2016"	"2016"	494	2991815	13.7
	"Oral Cavity and Pharynx"	"20010-20100"	"California"	"06"	"2016"	"2016"	4498	39149186	10.3
	"Oral Cavity and Pharynx"	"20010-20100"	"Colorado"	"08"	"2016"	"2016"	655	5543844	10.6
	"Oral Cavity and Pharynx"	"20010-20100"	"Connecticut"	"09"	"2016"	"2016"	562	3579830	12.2
	"Oral Cavity and Pharynx"	"20010-20100"	"Delaware"	"10"	"2016"	"2016"	153	949989	12.4
	"Oral Cavity and Pharynx"	"20010-20100"	"District of Columbia"	"11"	"2016"	"2016"	71	687576	10.5
	"Oral Cavity and Pharynx"	"20010-20100"	"Florida"	"12"	"2016"	"2016"	4041	20627237	14.2
	"Oral Cavity and Pharynx"	"20010-20100"	"Georgia"	"13"	"2016"	"2016"	1481	10308442	12.9
	"Oral Cavity and Pharynx"	"20010-20100"	"Hawaii"	"15"	"2016"	"2016"	243	1428885	13.4
	"Oral Cavity and Pharynx"	"20010-20100"	"Idaho"	"16"	"2016"	"2016"	273	1684036	14.0
	"Oral Cavity and Pharynx"	"20010-20100"	"Illinois"	"17"	"2016"	"2016"	1875	12821709	12.3
	"Oral Cavity and Pharynx"	"20010-20100"	"Indiana"	"18"	"2016"	"2016"	1033	6637898	13.2
	"Oral Cavity and Pharynx"	"20010-20100"	"Iowa"	"19"	"2016"	"2016"	533	3133210	13.7
	"Oral Cavity and Pharynx"	"20010-20100"	"Kansas"	"20"	"2016"	"2016"	417	2912977	12.3
	"Oral Cavity and Pharynx"	"20010-20100"	"Kentucky"	"21"	"2016"	"2016"	779	4440306	14.3
	"Oral Cavity and Pharynx"	"20010-20100"	"Louisiana"	"22"	"2016"	"2016"	715	4681346	13.0
	"Oral Cavity and Pharynx"	"20010-20100"	"Maine"	"23"	"2016"	"2016"	255	1332348	13.4
	"Oral Cavity and Pharynx"	"20010-20100"	"Maryland"	"24"	"2016"	"2016"	787	6007014	10.9
	"Oral Cavity and Pharynx"	"20010-20100"	"Massachusetts"	"25"	"2016"	"2016"	1045	6827280	12.2
	"Oral Cavity and Pharynx"	"20010-20100"	"Michigan"	"26"	"2016"	"2016"	1565	9954117	12.5
	"Oral Cavity and Pharynx"	"20010-20100"	"Minnesota"	"27"	"2016"	"2016"	849	5525360	12.7
	"Oral Cavity and Pharynx"	"20010-20100"	"Mississippi"	"28"	"2016"	"2016"	530	2990595	14.9
	"Oral Cavity and Pharynx"	"20010-20100"	"Missouri"	"29"	"2016"	"2016"	965	6091384	12.7
	"Oral Cavity and Pharynx"	"20010-20100"	"Montana"	"30"	"2016"	"2016"	166	1042137	11.7
	"Oral Cavity and Pharynx"	"20010-20100"	"Nebraska"	"31"	"2016"	"2016"	281	1906483	12.6
	"Oral Cavity and Pharynx"	"20010-20100"	"Nevada"	"32"	"2016"	"2016"	363	2919555	10.6
