"Notes"	"Cancer Sites"	"Cancer Sites Code"	"States"	"States Code"	Count	Population	Age-Adjusted Rate
	"All Invasive Cancer Sites Combined"	"0"	"Alabama"	"01"	27794	4907965	443.4
	"All Invasive Cancer Sites Combined"	"0"	"Alaska"	"02"	3160	733603	418.5
	"All Invasive Cancer Sites Combined"	"0"	"Arizona"	"04"	33168	7291843	358.7
	"All Invasive Cancer Sites Combined"	"0"	"Arkansas"	"05"	18596	3020985	487.6
	"All Invasive Cancer Sites Combined"	"0"	"California"	"06"	178202	39437610	397.0
	"All Invasive Cancer Sites Combined"	"0"	"Colorado"	"08"	25494	5758486	392.4
	"All Invasive Cancer Sites Combined"	"0"	"Connecticut"	"09"	22051	3566022	468.3
	"All Invasive Cancer Sites Combined"	"0"	"Delaware"	"10"	6118	976668	455.9
	"All Invasive Cancer Sites Combined"	"0"	"District of Columbia"	"11"	2838	708253	403.4
	"All Invasive Cancer Sites Combined"	"0"	"Florida"	"12"	133913	21492056	434.1
	"All Invasive Cancer Sites Combined"	"0"	"Georgia"	"13"	55290	10628020	458.8
	"All Invasive Cancer Sites Combined"	"0"	"Hawaii"	"15"	7657	1415615	413.5
	"All Invasive Cancer Sites Combined"	"0"	"Idaho"	"16"	9383	1789060	440.9
	"All Invasive Cancer Sites Combined"	"0"	"Illinois"	"17"	70175	12667017	453.6
	"All Invasive Cancer Sites Combined"	"0"	"Indiana"	"18"	33433	6731010	410.0
	"All Invasive Cancer Sites Combined"	"0"	"Iowa"	"19"	19800	3159596	494.1
	"All Invasive Cancer Sites Combined"	"0"	"Kansas"	"20"	15813	2912635	452.2
	"All Invasive Cancer Sites Combined"	"0"	"Kentucky"	"21"	28243	4472345	504.9
	"All Invasive Cancer Sites Combined"	"0"	"Louisiana"	"22"	27529	4658285	490.0
	"All Invasive Cancer Sites Combined"	"0"	"Maine"	"23"	9600	1345770	478.1
	"All Invasive Cancer Sites Combined"	"0"	"Maryland"	"24"	33659	6054954	453.6
	"All Invasive Cancer Sites Combined"	"0"	"Massachusetts"	"25"	38013	6894883	433.2
	"All Invasive Cancer Sites Combined"	"0"	"Michigan"	"26"	56193	9984795	432.7
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	30558	5640053	442.8
	"All Invasive Cancer Sites Combined"	"0"	"Mississippi"	"28"	17202	2978227	469.6
	"All Invasive Cancer Sites Combined"	"0"	"Missouri"	"29"	34478	6140475	442.5
	"All Invasive Cancer Sites Combined"	"0"	"Montana"	"30"	6473	1070123	449.6
	"All Invasive Cancer Sites Combined"	"0"	"Nebraska"	"31"	10515	1932571	457.3
	"All Invasive Cancer Sites Combined"	"0"	"New Hampshire"	"33"	8996	1360783	475.8
	"All Invasive Cancer Sites Combined"	"0"	"New Jersey"	"34"	54271	8891258	483.7
	"All Invasive Cancer Sites Combined"	"0"	"New Mexico"	"35"	9733	2099634	366.5
	"All Invasive Cancer Sites Combined"	"0"	"New York"	"36"	118803	19463131	484.9
	"All Invasive Cancer Sites Combined"	"0"	"North Carolina"	"37"	60331	10501384	460.8
	"All Invasive Cancer Sites Combined"	"0"	"North Dakota"	"38"	3904	763724	440.6
	"All Invasive Cancer Sites Combined"	"0"	"Ohio"	"39"	70363	11696507	468.0
	"All Invasive Cancer Sites Combined"	"0"	"Oklahoma"	"40"	21121	3960676	446.6
	"All Invasive Cancer Sites Combined"	"0"	"Oregon"	"41"	22429	4216116	411.3
	"All Invasive Cancer Sites Combined"	"0"	"Pennsylvania"	"42"	79001	12798883	457.5
	"All Invasive Cancer Sites Combined"	"0"	"Rhode Island"	"44"	6530	1058158	473.7
	"All Invasive Cancer Sites Combined"	"0"	"South Carolina"	"45"	28296	5157702	419.4
	"All Invasive Cancer Sites Combined"	"0"	"South Dakota"	"46"	4688	887127	428.6
	"All Invasive Cancer Sites Combined"	"0"	"Tennessee"	"47"	38258	6830325	446.5
	"All Invasive Cancer Sites Combined"	"0"	"Texas"	"48"	123923	28986794	412.4
	"All Invasive Cancer Sites Combined"	"0"	"Utah"	"49"	11888	3203383	406.5
	"All Invasive Cancer Sites Combined"	"0"	"Vermont"	"50"	3956	624046	450.5
	"All Invasive Cancer Sites Combined"	"0"	"Virginia"	"51"	41646	8556642	401.8
	"All Invasive Cancer Sites Combined"	"0"	"Washington"	"53"	38772	7614024	428.6
	"All Invasive Cancer Sites Combined"	"0"	"West Virginia"	"54"	12188	1795263	480.5
