"Notes"	"Cancer Sites"	"Cancer Sites Code"	"States"	"States Code"	"Year"	"Year Code"	Count	Population	Age-Adjusted Rate
	"All Invasive Cancer Sites Combined"	"0"	"Alabama"	"01"	"2009"	"2009"	25366	4757938	478.2
	"All Invasive Cancer Sites Combined"	"0"	"Alaska"	"02"	"2009"	"2009"	2728	698895	475.4
	"All Invasive Cancer Sites Combined"	"0"	"Arizona"	"04"	"2009"	"2009"	28910	6343154	424.6
	"All Invasive Cancer Sites Combined"	"0"	"Arkansas"	"05"	"2009"	"2009"	15097	2896843	458.7
	"All Invasive Cancer Sites Combined"	"0"	"California"	"06"	"2009"	"2009"	161397	36961229	448.7
	"All Invasive Cancer Sites Combined"	"0"	"Colorado"	"08"	"2009"	"2009"	21727	4972195	447.2
	"All Invasive Cancer Sites Combined"	"0"	"Connecticut"	"09"	"2009"	"2009"	21276	3561807	519.3
	"All Invasive Cancer Sites Combined"	"0"	"Delaware"	"10"	"2009"	"2009"	5340	891730	522.9
	"All Invasive Cancer Sites Combined"	"0"	"District of Columbia"	"11"	"2009"	"2009"	2904	592228	498.4
	"All Invasive Cancer Sites Combined"	"0"	"Florida"	"12"	"2009"	"2009"	113587	18652644	476.9
	"All Invasive Cancer Sites Combined"	"0"	"Georgia"	"13"	"2009"	"2009"	44058	9620846	484.4
	"All Invasive Cancer Sites Combined"	"0"	"Hawaii"	"15"	"2009"	"2009"	6807	1346717	441.2
	"All Invasive Cancer Sites Combined"	"0"	"Idaho"	"16"	"2009"	"2009"	7405	1554439	469.9
	"All Invasive Cancer Sites Combined"	"0"	"Illinois"	"17"	"2009"	"2009"	67002	12796778	501.2
	"All Invasive Cancer Sites Combined"	"0"	"Indiana"	"18"	"2009"	"2009"	32815	6459325	475.1
	"All Invasive Cancer Sites Combined"	"0"	"Iowa"	"19"	"2009"	"2009"	17661	3032870	498.9
	"All Invasive Cancer Sites Combined"	"0"	"Kansas"	"20"	"2009"	"2009"	14557	2832704	478.1
	"All Invasive Cancer Sites Combined"	"0"	"Kentucky"	"21"	"2009"	"2009"	24992	4317074	524.8
	"All Invasive Cancer Sites Combined"	"0"	"Louisiana"	"22"	"2009"	"2009"	23785	4491648	506.9
	"All Invasive Cancer Sites Combined"	"0"	"Maine"	"23"	"2009"	"2009"	8402	1329590	501.6
	"All Invasive Cancer Sites Combined"	"0"	"Maryland"	"24"	"2009"	"2009"	28651	5730388	472.3
	"All Invasive Cancer Sites Combined"	"0"	"Massachusetts"	"25"	"2009"	"2009"	37650	6517613	511.9
	"All Invasive Cancer Sites Combined"	"0"	"Michigan"	"26"	"2009"	"2009"	54181	9901591	487.3
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"2009"	"2009"	27006	5281203	478.7
	"All Invasive Cancer Sites Combined"	"0"	"Mississippi"	"28"	"2009"	"2009"	15132	2958774	485.3
	"All Invasive Cancer Sites Combined"	"0"	"Missouri"	"29"	"2009"	"2009"	32431	5961088	484.3
	"All Invasive Cancer Sites Combined"	"0"	"Montana"	"30"	"2009"	"2009"	5676	983982	482.3
	"All Invasive Cancer Sites Combined"	"0"	"Nebraska"	"31"	"2009"	"2009"	9068	1812683	459.5
	"All Invasive Cancer Sites Combined"	"0"	"Nevada"	"32"	"2009"	"2009"	12473	2684665	463.5
	"All Invasive Cancer Sites Combined"	"0"	"New Hampshire"	"33"	"2009"	"2009"	7741	1316102	514.6
	"All Invasive Cancer Sites Combined"	"0"	"New Jersey"	"34"	"2009"	"2009"	50130	8755602	516.2
	"All Invasive Cancer Sites Combined"	"0"	"New Mexico"	"35"	"2009"	"2009"	9118	2036802	413.7
	"All Invasive Cancer Sites Combined"	"0"	"New York"	"36"	"2009"	"2009"	109422	19307066	513.4
	"All Invasive Cancer Sites Combined"	"0"	"North Carolina"	"37"	"2009"	"2009"	50506	9449566	499.5
	"All Invasive Cancer Sites Combined"	"0"	"North Dakota"	"38"	"2009"	"2009"	3508	664968	461.7
	"All Invasive Cancer Sites Combined"	"0"	"Ohio"	"39"	"2009"	"2009"	64108	11528896	489.4
	"All Invasive Cancer Sites Combined"	"0"	"Oklahoma"	"40"	"2009"	"2009"	19065	3717572	470.4
	"All Invasive Cancer Sites Combined"	"0"	"Oregon"	"41"	"2009"	"2009"	19996	3808600	463.5
	"All Invasive Cancer Sites Combined"	"0"	"Pennsylvania"	"42"	"2009"	"2009"	78209	12666858	510.8
	"All Invasive Cancer Sites Combined"	"0"	"Rhode Island"	"44"	"2009"	"2009"	6380	1053646	523.8
	"All Invasive Cancer Sites Combined"	"0"	"South Carolina"	"45"	"2009"	"2009"	24144	4589872	474.3
	"All Invasive Cancer Sites Combined"	"0"	"South Dakota"	"46"	"2009"	"2009"	4312	807067	472.6
	"All Invasive Cancer Sites Combined"	"0"	"Tennessee"	"47"	"2009"	"2009"	34278	6306019	493.6
	"All Invasive Cancer Sites Combined"	"0"	"Texas"	"48"	"2009"	"2009"	101745	24801761	449.9
	"All Invasive Cancer Sites Combined"	"0"	"Utah"	"49"	"2009"	"2009"	9155	2723421	422.0
	"All Invasive Cancer Sites Combined"	"0"	"Vermont"	"50"	"2009"	"2009"	3736	624817	500.7
	"All Invasive Cancer Sites Combined"	"0"	"Virginia"	"51"	"2009"	"2009"	38071	7925937	460.0
	"All Invasive Cancer Sites Combined"	"0"	"Washington"	"53"	"2009"	"2009"	34404	6667426	494.0
	"All Invasive Cancer Sites Combined"	"0"	"West Virginia"	"54"	"2009"	"2009"	11486	1847775	494.1
	"All Invasive Cancer Sites Combined"	"0"	"Wisconsin"	"55"	"2009"	"2009"	30383	5669264	481.0
	"All Invasive Cancer Sites Combined"	"0"	"Wyoming"	"56"	"2009"	"2009"	2543	559851	428.3
	"Oral Cavity and Pharynx"	"20010-20100"	"Alabama"	"01"	"2009"	"2009"	688	4757938	12.7
	"Oral Cavity and Pharynx"	"20010-20100"	"Alaska"	"02"	"2009"	"2009"	75	698895	11.2
	"Oral Cavity and Pharynx"	"20010-20100"	"Arizona"	"04"	"2009"	"2009"	624	6343154	9.1
	"Oral Cavity and Pharynx"	"20010-20100"	"Arkansas"	"05"	"2009"	"2009"	423	2896843	12.7
	"Oral Cavity and Pharynx"	"20010-20100"	"California"	"06"	"2009"	"2009"	3873	36961229	10.5
	"Oral Cavity and Pharynx"	"20010-20100"	"Colorado"	"08"	"2009"	"2009"	450	4972195	8.9
	"Oral Cavity and Pharynx"	"20010-20100"	"Connecticut"	"09"	"2009"	"2009"	466	3561807	11.1
	"Oral Cavity and Pharynx"	"20010-20100"	"Delaware"	"10"	"2009"	"2009"	135	891730	12.8
	"Oral Cavity and Pharynx"	"20010-20100"	"District of Columbia"	"11"	"2009"	"2009"	66	592228	11.5
	"Oral Cavity and Pharynx"	"20010-20100"	"Florida"	"12"	"2009"	"2009"	3179	18652644	13.5
	"Oral Cavity and Pharynx"	"20010-20100"	"Georgia"	"13"	"2009"	"2009"	1165	9620846	12.2
	"Oral Cavity and Pharynx"	"20010-20100"	"Hawaii"	"15"	"2009"	"2009"	196	1346717	12.3
	"Oral Cavity and Pharynx"	"20010-20100"	"Idaho"	"16"	"2009"	"2009"	223	1554439	14.1
	"Oral Cavity and Pharynx"	"20010-20100"	"Illinois"	"17"	"2009"	"2009"	1596	12796778	11.7
	"Oral Cavity and Pharynx"	"20010-20100"	"Indiana"	"18"	"2009"	"2009"	788	6459325	11.2
	"Oral Cavity and Pharynx"	"20010-20100"	"Iowa"	"19"	"2009"	"2009"	417	3032870	11.6
	"Oral Cavity and Pharynx"	"20010-20100"	"Kansas"	"20"	"2009"	"2009"	336	2832704	11.0
	"Oral Cavity and Pharynx"	"20010-20100"	"Kentucky"	"21"	"2009"	"2009"	678	4317074	13.7
	"Oral Cavity and Pharynx"	"20010-20100"	"Louisiana"	"22"	"2009"	"2009"	636	4491648	13.2
	"Oral Cavity and Pharynx"	"20010-20100"	"Maine"	"23"	"2009"	"2009"	207	1329590	12.2
	"Oral Cavity and Pharynx"	"20010-20100"	"Maryland"	"24"	"2009"	"2009"	671	5730388	10.7
	"Oral Cavity and Pharynx"	"20010-20100"	"Massachusetts"	"25"	"2009"	"2009"	875	6517613	11.7
	"Oral Cavity and Pharynx"	"20010-20100"	"Michigan"	"26"	"2009"	"2009"	1268	9901591	11.2
	"Oral Cavity and Pharynx"	"20010-20100"	"Minnesota"	"27"	"2009"	"2009"	696	5281203	12.2
	"Oral Cavity and Pharynx"	"20010-20100"	"Mississippi"	"28"	"2009"	"2009"	440	2958774	13.9
	"Oral Cavity and Pharynx"	"20010-20100"	"Missouri"	"29"	"2009"	"2009"	763	5961088	11.2
	"Oral Cavity and Pharynx"	"20010-20100"	"Montana"	"30"	"2009"	"2009"	151	983982	12.8
	"Oral Cavity and Pharynx"	"20010-20100"	"Nebraska"	"31"	"2009"	"2009"	220	1812683	10.9
	"Oral Cavity and Pharynx"	"20010-20100"	"Nevada"	"32"	"2009"	"2009"	305	2684665	10.9
	"Oral Cavity and Pharynx"	"20010-20100"	"New Hampshire"	"33"	"2009"	"2009"	178	1316102	11.5
	"Oral Cavity and Pharynx"	"20010-20100"	"New Jersey"	"34"	"2009"	"2009"	1063	8755602	10.8
	"Oral Cavity and Pharynx"	"20010-20100"	"New Mexico"	"35"	"2009"	"2009"	232	2036802	10.3
	"Oral Cavity and Pharynx"	"20010-20100"	"New York"	"36"	"2009"	"2009"	2298	19307066	10.6
	"Oral Cavity and Pharynx"	"20010-20100"	"North Carolina"	"37"	"2009"	"2009"	1299	9449566	12.6
	"Oral Cavity and Pharynx"	"20010-20100"	"North Dakota"	"38"	"2009"	"2009"	94	664968	12.2
	"Oral Cavity and Pharynx"	"20010-20100"	"Ohio"	"39"	"2009"	"2009"	1358	11528896	10.1
	"Oral Cavity and Pharynx"	"20010-20100"	"Oklahoma"	"40"	"2009"	"2009"	524	3717572	12.7
	"Oral Cavity and Pharynx"	"20010-20100"	"Oregon"	"41"	"2009"	"2009"	489	3808600	11.0
	"Oral Cavity and Pharynx"	"20010-20100"	"Pennsylvania"	"42"	"2009"	"2009"	1704	12666858	11.1
	"Oral Cavity and Pharynx"	"20010-20100"	"Rhode Island"	"44"	"2009"	"2009"	135	1053646	11.1
	"Oral Cavity and Pharynx"	"20010-20100"	"South Carolina"	"45"	"2009"	"2009"	650	4589872	12.5
	"Oral Cavity and Pharynx"	"20010-20100"	"South Dakota"	"46"	"2009"	"2009"	104	807067	11.4
	"Oral Cavity and Pharynx"	"20010-20100"	"Tennessee"	"47"	"2009"	"2009"	894	6306019	12.5
	"Oral Cavity and Pharynx"	"20010-20100"	"Texas"	"48"	"2009"	"2009"	2534	24801761	10.7
	"Oral Cavity and Pharynx"	"20010-20100"	"Utah"	"49"	"2009"	"2009"	170	2723421	7.7
	"Oral Cavity and Pharynx"	"20010-20100"	"Vermont"	"50"	"2009"	"2009"	97	624817	12.3
	"Oral Cavity and Pharynx"	"20010-20100"	"Virginia"	"51"	"2009"	"2009"	897	7925937	10.5
	"Oral Cavity and Pharynx"	"20010-20100"	"Washington"	"53"	"2009"	"2009"	840	6667426	11.6
	"Oral Cavity and Pharynx"	"20010-20100"	"West Virginia"	"54"	"2009"	"2009"	238	1847775	10.1
	"Oral Cavity and Pharynx"	"20010-20100"	"Wisconsin"	"55"	"2009"	"2009"	733	5669264	11.5
	"Oral Cavity and Pharynx"	"20010-20100"	"Wyoming"	"56"	"2009"	"2009"	52	559851	8.8
	"Lip"	"20010"	"Alabama"	"01"	"2009"	"2009"	50	4757938	0.9
	"Lip"	"20010"	"Arizona"	"04"	"2009"	"2009"	18	6343154	0.3
	"Lip"	"20010"	"Arkansas"	"05"	"2009"	"2009"	36	2896843	1.1
	"Lip"	"20010"	"California"	"06"	"2009"	"2009"	290	36961229	0.8
	"Lip"	"20010"	"Colorado"	"08"	"2009"	"2009"	31	4972195	0.7
	"Lip"	"20010"	"Florida"	"12"	"2009"	"2009"	112	18652644	0.5
	"Lip"	"20010"	"Georgia"	"13"	"2009"	"2009"	28	9620846	0.3
	"Lip"	"20010"	"Idaho"	"16"	"2009"	"2009"	53	1554439	3.5
	"Lip"	"20010"	"Illinois"	"17"	"2009"	"2009"	74	12796778	0.6
	"Lip"	"20010"	"Indiana"	"18"	"2009"	"2009"	34	6459325	0.5
	"Lip"	"20010"	"Iowa"	"19"	"2009"	"2009"	50	3032870	1.4
	"Lip"	"20010"	"Kansas"	"20"	"2009"	"2009"	36	2832704	1.2
