"Notes"	"Cancer Sites"	"Cancer Sites Code"	"States"	"States Code"	Count	Population	Age-Adjusted Rate
	"All Invasive Cancer Sites Combined"	"0"	"Alabama"	"01"	27430	4877989	451.7
	"All Invasive Cancer Sites Combined"	"0"	"Alaska"	"02"	3006	740983	415.7
	"All Invasive Cancer Sites Combined"	"0"	"Arizona"	"04"	33750	7048088	389.3
	"All Invasive Cancer Sites Combined"	"0"	"Arkansas"	"05"	17710	3003855	478.0
	"All Invasive Cancer Sites Combined"	"0"	"California"	"06"	174944	39337785	403.0
	"All Invasive Cancer Sites Combined"	"0"	"Colorado"	"08"	24590	5617421	399.8
	"All Invasive Cancer Sites Combined"	"0"	"Connecticut"	"09"	21679	3575324	473.0
	"All Invasive Cancer Sites Combined"	"0"	"Delaware"	"10"	5794	957942	459.7
	"All Invasive Cancer Sites Combined"	"0"	"District of Columbia"	"11"	2986	697079	439.6
	"All Invasive Cancer Sites Combined"	"0"	"Florida"	"12"	134021	20977089	457.1
	"All Invasive Cancer Sites Combined"	"0"	"Georgia"	"13"	53541	10417031	468.8
	"All Invasive Cancer Sites Combined"	"0"	"Hawaii"	"15"	7656	1425763	423.4
	"All Invasive Cancer Sites Combined"	"0"	"Idaho"	"16"	8941	1719745	452.3
	"All Invasive Cancer Sites Combined"	"0"	"Illinois"	"17"	70553	12779893	467.7
	"All Invasive Cancer Sites Combined"	"0"	"Indiana"	"18"	37421	6662068	474.2
	"All Invasive Cancer Sites Combined"	"0"	"Iowa"	"19"	19135	3143734	491.7
	"All Invasive Cancer Sites Combined"	"0"	"Kansas"	"20"	15814	2910892	465.4
	"All Invasive Cancer Sites Combined"	"0"	"Kentucky"	"21"	28163	4455590	518.5
	"All Invasive Cancer Sites Combined"	"0"	"Louisiana"	"22"	26277	4673673	480.9
	"All Invasive Cancer Sites Combined"	"0"	"Maine"	"23"	9203	1335743	478.8
	"All Invasive Cancer Sites Combined"	"0"	"Maryland"	"24"	32681	6028186	455.5
	"All Invasive Cancer Sites Combined"	"0"	"Massachusetts"	"25"	39435	6863560	464.3
	"All Invasive Cancer Sites Combined"	"0"	"Michigan"	"26"	55808	9976752	443.7
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	32263	5569283	487.8
	"All Invasive Cancer Sites Combined"	"0"	"Mississippi"	"28"	17012	2990674	477.5
	"All Invasive Cancer Sites Combined"	"0"	"Missouri"	"29"	35204	6111382	463.5
	"All Invasive Cancer Sites Combined"	"0"	"Montana"	"30"	6602	1053862	479.8
	"All Invasive Cancer Sites Combined"	"0"	"Nebraska"	"31"	10562	1916998	475.2
	"All Invasive Cancer Sites Combined"	"0"	"Nevada"	"32"	14558	2972097	418.3
	"All Invasive Cancer Sites Combined"	"0"	"New Hampshire"	"33"	8727	1350395	485.5
	"All Invasive Cancer Sites Combined"	"0"	"New Jersey"	"34"	53840	8888147	491.3
	"All Invasive Cancer Sites Combined"	"0"	"New Mexico"	"35"	9667	2092844	376.8
	"All Invasive Cancer Sites Combined"	"0"	"New York"	"36"	116929	19593849	488.3
	"All Invasive Cancer Sites Combined"	"0"	"North Carolina"	"37"	58788	10275758	472.1
	"All Invasive Cancer Sites Combined"	"0"	"North Dakota"	"38"	3974	756755	466.6
	"All Invasive Cancer Sites Combined"	"0"	"Ohio"	"39"	68970	11665706	470.6
	"All Invasive Cancer Sites Combined"	"0"	"Oklahoma"	"40"	20393	3933602	443.5
	"All Invasive Cancer Sites Combined"	"0"	"Oregon"	"41"	22761	4147294	435.8
	"All Invasive Cancer Sites Combined"	"0"	"Pennsylvania"	"42"	80751	12794679	479.5
	"All Invasive Cancer Sites Combined"	"0"	"Rhode Island"	"44"	6381	1056554	473.4
	"All Invasive Cancer Sites Combined"	"0"	"South Carolina"	"45"	28399	5027102	443.7
	"All Invasive Cancer Sites Combined"	"0"	"South Dakota"	"46"	4833	873732	459.6
	"All Invasive Cancer Sites Combined"	"0"	"Tennessee"	"47"	39239	6714748	477.4
	"All Invasive Cancer Sites Combined"	"0"	"Texas"	"48"	118455	28291024	415.2
	"All Invasive Cancer Sites Combined"	"0"	"Utah"	"49"	11132	3103540	404.5
	"All Invasive Cancer Sites Combined"	"0"	"Vermont"	"50"	4027	625132	469.4
	"All Invasive Cancer Sites Combined"	"0"	"Virginia"	"51"	40844	8471011	409.2
