"Notes"	"Cancer Sites"	"Cancer Sites Code"	"States"	"States Code"	"Year"	"Year Code"	Count	Population	Age-Adjusted Rate
	"All Invasive Cancer Sites Combined"	"0"	"Alabama"	"01"	"2012"	"2012"	25563	4816632	457.3
	"All Invasive Cancer Sites Combined"	"0"	"Alaska"	"02"	"2012"	"2012"	2773	730810	431.4
	"All Invasive Cancer Sites Combined"	"0"	"Arizona"	"04"	"2012"	"2012"	29305	6556344	395.9
	"All Invasive Cancer Sites Combined"	"0"	"Arkansas"	"05"	"2012"	"2012"	15743	2952876	457.0
	"All Invasive Cancer Sites Combined"	"0"	"California"	"06"	"2012"	"2012"	163403	37944551	422.3
	"All Invasive Cancer Sites Combined"	"0"	"Colorado"	"08"	"2012"	"2012"	22111	5193660	415.2
	"All Invasive Cancer Sites Combined"	"0"	"Connecticut"	"09"	"2012"	"2012"	20999	3595211	490.1
	"All Invasive Cancer Sites Combined"	"0"	"Delaware"	"10"	"2012"	"2012"	5555	915518	505.2
	"All Invasive Cancer Sites Combined"	"0"	"District of Columbia"	"11"	"2012"	"2012"	3100	635737	495.4
	"All Invasive Cancer Sites Combined"	"0"	"Florida"	"12"	"2012"	"2012"	118725	19302016	464.9
	"All Invasive Cancer Sites Combined"	"0"	"Georgia"	"13"	"2012"	"2012"	46820	9903580	472.1
	"All Invasive Cancer Sites Combined"	"0"	"Hawaii"	"15"	"2012"	"2012"	6885	1395199	416.8
	"All Invasive Cancer Sites Combined"	"0"	"Idaho"	"16"	"2012"	"2012"	7629	1595910	448.4
	"All Invasive Cancer Sites Combined"	"0"	"Illinois"	"17"	"2012"	"2012"	66101	12883029	469.9
	"All Invasive Cancer Sites Combined"	"0"	"Indiana"	"18"	"2012"	"2012"	33700	6538989	464.5
	"All Invasive Cancer Sites Combined"	"0"	"Iowa"	"19"	"2012"	"2012"	17344	3076844	472.8
	"All Invasive Cancer Sites Combined"	"0"	"Kansas"	"20"	"2012"	"2012"	14943	2886024	470.9
	"All Invasive Cancer Sites Combined"	"0"	"Kentucky"	"21"	"2012"	"2012"	26412	4387865	526.2
	"All Invasive Cancer Sites Combined"	"0"	"Louisiana"	"22"	"2012"	"2012"	24458	4602067	490.9
	"All Invasive Cancer Sites Combined"	"0"	"Maine"	"23"	"2012"	"2012"	8579	1328094	484.7
	"All Invasive Cancer Sites Combined"	"0"	"Maryland"	"24"	"2012"	"2012"	29235	5888375	451.4
	"All Invasive Cancer Sites Combined"	"0"	"Massachusetts"	"25"	"2012"	"2012"	36720	6664269	474.4
	"All Invasive Cancer Sites Combined"	"0"	"Michigan"	"26"	"2012"	"2012"	54158	9898289	464.4
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"2012"	"2012"	28149	5377500	468.9
	"All Invasive Cancer Sites Combined"	"0"	"Mississippi"	"28"	"2012"	"2012"	15583	2984599	472.9
	"All Invasive Cancer Sites Combined"	"0"	"Missouri"	"29"	"2012"	"2012"	32841	6026027	467.5
	"All Invasive Cancer Sites Combined"	"0"	"Montana"	"30"	"2012"	"2012"	5632	1004168	452.7
	"All Invasive Cancer Sites Combined"	"0"	"Nebraska"	"31"	"2012"	"2012"	9312	1853691	449.7
