"Notes"	"Cancer Sites"	"Cancer Sites Code"	"States"	"States Code"	"Year"	"Year Code"	Count	Population	Age-Adjusted Rate
	"All Invasive Cancer Sites Combined"	"0"	"Alabama"	"01"	"2010"	"2010"	25394	4785514	468.2
	"All Invasive Cancer Sites Combined"	"0"	"Alaska"	"02"	"2010"	"2010"	2847	713982	475.4
	"All Invasive Cancer Sites Combined"	"0"	"Arizona"	"04"	"2010"	"2010"	28655	6407342	409.7
	"All Invasive Cancer Sites Combined"	"0"	"Arkansas"	"05"	"2010"	"2010"	15325	2921998	457.6
	"All Invasive Cancer Sites Combined"	"0"	"California"	"06"	"2010"	"2010"	162719	37319550	441.2
	"All Invasive Cancer Sites Combined"	"0"	"Colorado"	"08"	"2010"	"2010"	21529	5047539	430.9
	"All Invasive Cancer Sites Combined"	"0"	"Connecticut"	"09"	"2010"	"2010"	21016	3579173	505.4
	"All Invasive Cancer Sites Combined"	"0"	"Delaware"	"10"	"2010"	"2010"	5337	899647	512.9
	"All Invasive Cancer Sites Combined"	"0"	"District of Columbia"	"11"	"2010"	"2010"	2997	605282	504.5
	"All Invasive Cancer Sites Combined"	"0"	"Florida"	"12"	"2010"	"2010"	114689	18846143	470.9
	"All Invasive Cancer Sites Combined"	"0"	"Georgia"	"13"	"2010"	"2010"	43537	9712209	464.0
	"All Invasive Cancer Sites Combined"	"0"	"Hawaii"	"15"	"2010"	"2010"	6750	1364004	426.8
	"All Invasive Cancer Sites Combined"	"0"	"Idaho"	"16"	"2010"	"2010"	7482	1570819	461.2
	"All Invasive Cancer Sites Combined"	"0"	"Illinois"	"17"	"2010"	"2010"	65744	12840545	483.8
	"All Invasive Cancer Sites Combined"	"0"	"Indiana"	"18"	"2010"	"2010"	32964	6490555	469.5
	"All Invasive Cancer Sites Combined"	"0"	"Iowa"	"19"	"2010"	"2010"	17603	3050819	491.6
	"All Invasive Cancer Sites Combined"	"0"	"Kansas"	"20"	"2010"	"2010"	14555	2858266	472.2
	"All Invasive Cancer Sites Combined"	"0"	"Kentucky"	"21"	"2010"	"2010"	25568	4348464	528.4
	"All Invasive Cancer Sites Combined"	"0"	"Louisiana"	"22"	"2010"	"2010"	23877	4544635	499.6
	"All Invasive Cancer Sites Combined"	"0"	"Maine"	"23"	"2010"	"2010"	8440	1327651	496.8
	"All Invasive Cancer Sites Combined"	"0"	"Maryland"	"24"	"2010"	"2010"	29022	5788784	470.4
	"All Invasive Cancer Sites Combined"	"0"	"Massachusetts"	"25"	"2010"	"2010"	35844	6566440	479.7
	"All Invasive Cancer Sites Combined"	"0"	"Michigan"	"26"	"2010"	"2010"	55365	9877597	491.0
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"2010"	"2010"	27230	5310934	474.8
	"All Invasive Cancer Sites Combined"	"0"	"Mississippi"	"28"	"2010"	"2010"	15560	2970615	488.8
	"All Invasive Cancer Sites Combined"	"0"	"Missouri"	"29"	"2010"	"2010"	31714	5996089	465.9
	"All Invasive Cancer Sites Combined"	"0"	"Montana"	"30"	"2010"	"2010"	5707	990730	479.2
	"All Invasive Cancer Sites Combined"	"0"	"Nebraska"	"31"	"2010"	"2010"	9425	1829591	469.2
	"All Invasive Cancer Sites Combined"	"0"	"Nevada"	"32"	"2010"	"2010"	12040	2702483	437.2
	"All Invasive Cancer Sites Combined"	"0"	"New Hampshire"	"33"	"2010"	"2010"	7841	1316807	508.2
	"All Invasive Cancer Sites Combined"	"0"	"New Jersey"	"34"	"2010"	"2010"	49655	8799451	503.1
	"All Invasive Cancer Sites Combined"	"0"	"New Mexico"	"35"	"2010"	"2010"	9094	2064614	400.7
	"All Invasive Cancer Sites Combined"	"0"	"New York"	"36"	"2010"	"2010"	107284	19399956	496.3
	"All Invasive Cancer Sites Combined"	"0"	"North Carolina"	"37"	"2010"	"2010"	50546	9574586	486.7
	"All Invasive Cancer Sites Combined"	"0"	"North Dakota"	"38"	"2010"	"2010"	3609	674752	465.5
	"All Invasive Cancer Sites Combined"	"0"	"Ohio"	"39"	"2010"	"2010"	62150	11539449	467.2
	"All Invasive Cancer Sites Combined"	"0"	"Oklahoma"	"40"	"2010"	"2010"	18769	3760014	455.4
	"All Invasive Cancer Sites Combined"	"0"	"Oregon"	"41"	"2010"	"2010"	19879	3837614	451.3
	"All Invasive Cancer Sites Combined"	"0"	"Pennsylvania"	"42"	"2010"	"2010"	78736	12711406	508.0
	"All Invasive Cancer Sites Combined"	"0"	"Rhode Island"	"44"	"2010"	"2010"	6083	1053994	494.7
	"All Invasive Cancer Sites Combined"	"0"	"South Carolina"	"45"	"2010"	"2010"	24987	4635846	478.6
	"All Invasive Cancer Sites Combined"	"0"	"South Dakota"	"46"	"2010"	"2010"	4254	816193	457.0
	"All Invasive Cancer Sites Combined"	"0"	"Tennessee"	"47"	"2010"	"2010"	34195	6355518	481.6
